sample_id,image_path,label_path,material_label
multicap-2024-06-18_08-42-27-000000,matador/texture_img/multicap-2024-06-18_08-42-27-000000.tiff,matador/label/multicap-2024-06-18_08-42-27-000000.txt,carpet
multicap-2024-06-18_08-52-49-000000,matador/texture_img/multicap-2024-06-18_08-52-49-000000.tiff,matador/label/multicap-2024-06-18_08-52-49-000000.txt,leather
multicap-2024-06-19_16-07-36-000000,matador/texture_img/multicap-2024-06-19_16-07-36-000000.tiff,matador/label/multicap-2024-06-19_16-07-36-000000.txt,leather
multicap-2024-06-20_09-29-05-000000,matador/texture_img/multicap-2024-06-20_09-29-05-000000.tiff,matador/label/multicap-2024-06-20_09-29-05-000000.txt,plaster
multicap-2024-06-20_16-19-31-000000,matador/texture_img/multicap-2024-06-20_16-19-31-000000.tiff,matador/label/multicap-2024-06-20_16-19-31-000000.txt,brick
multicap-2024-06-20_16-19-40-000000,matador/texture_img/multicap-2024-06-20_16-19-40-000000.tiff,matador/label/multicap-2024-06-20_16-19-40-000000.txt,concrete
multicap-2024-06-20_16-20-10-000000,matador/texture_img/multicap-2024-06-20_16-20-10-000000.tiff,matador/label/multicap-2024-06-20_16-20-10-000000.txt,concrete
multicap-2024-06-20_16-20-17-000000,matador/texture_img/multicap-2024-06-20_16-20-17-000000.tiff,matador/label/multicap-2024-06-20_16-20-17-000000.txt,brick
multicap-2024-06-20_16-20-50-000000,matador/texture_img/multicap-2024-06-20_16-20-50-000000.tiff,matador/label/multicap-2024-06-20_16-20-50-000000.txt,cement
multicap-2024-06-20_16-20-52-000000,matador/texture_img/multicap-2024-06-20_16-20-52-000000.tiff,matador/label/multicap-2024-06-20_16-20-52-000000.txt,paint
multicap-2024-06-20_16-21-22-000000,matador/texture_img/multicap-2024-06-20_16-21-22-000000.tiff,matador/label/multicap-2024-06-20_16-21-22-000000.txt,paint
multicap-2024-06-20_16-21-36-000000,matador/texture_img/multicap-2024-06-20_16-21-36-000000.tiff,matador/label/multicap-2024-06-20_16-21-36-000000.txt,nylon
multicap-2024-06-20_16-22-05-000000,matador/texture_img/multicap-2024-06-20_16-22-05-000000.tiff,matador/label/multicap-2024-06-20_16-22-05-000000.txt,elastomer
multicap-2024-06-20_16-22-26-000000,matador/texture_img/multicap-2024-06-20_16-22-26-000000.tiff,matador/label/multicap-2024-06-20_16-22-26-000000.txt,concrete
multicap-2024-06-20_16-22-44-000000,matador/texture_img/multicap-2024-06-20_16-22-44-000000.tiff,matador/label/multicap-2024-06-20_16-22-44-000000.txt,granite
multicap-2024-06-20_16-23-02-000000,matador/texture_img/multicap-2024-06-20_16-23-02-000000.tiff,matador/label/multicap-2024-06-20_16-23-02-000000.txt,timber
multicap-2024-06-20_16-23-21-000000,matador/texture_img/multicap-2024-06-20_16-23-21-000000.tiff,matador/label/multicap-2024-06-20_16-23-21-000000.txt,timber
multicap-2024-06-20_16-23-28-000000,matador/texture_img/multicap-2024-06-20_16-23-28-000000.tiff,matador/label/multicap-2024-06-20_16-23-28-000000.txt,cement
multicap-2024-06-20_16-23-55-000000,matador/texture_img/multicap-2024-06-20_16-23-55-000000.tiff,matador/label/multicap-2024-06-20_16-23-55-000000.txt,paint
multicap-2024-06-20_16-24-39-000000,matador/texture_img/multicap-2024-06-20_16-24-39-000000.tiff,matador/label/multicap-2024-06-20_16-24-39-000000.txt,concrete
multicap-2024-06-20_16-24-52-000000,matador/texture_img/multicap-2024-06-20_16-24-52-000000.tiff,matador/label/multicap-2024-06-20_16-24-52-000000.txt,granite
multicap-2024-06-20_16-25-20-000000,matador/texture_img/multicap-2024-06-20_16-25-20-000000.tiff,matador/label/multicap-2024-06-20_16-25-20-000000.txt,soil
multicap-2024-06-20_16-25-25-000000,matador/texture_img/multicap-2024-06-20_16-25-25-000000.tiff,matador/label/multicap-2024-06-20_16-25-25-000000.txt,dirt
